TF_name,HoxPbx_sites_count
C34F6.9,3
mab-23,3
nhr-161,3
daf-12,2
dhhc-7,2
dhhc-8,2
egl-44,2
eyg-1,2
mab-5,2
madf-7,2
mls-2,2
nhr-154,2
nhr-156,2
nhr-182,2
nhr-253,2
nhr-26,2
nhr-269,2
nhr-31,2
nhr-40,2
npax-4,2
snpc-4,2
ubxn-1,2
Y47G6A.7,2
Y48G8AL.10,2
Y66H1A.4,2
ztf-15,2
ada-2,1
aha-1,1
aptf-2,1
aptf-4,1
atfs-1,1
attf-5,1
B0238.11,1
B0310.2,1
B0336.3,1
C08G9.2,1
C09F5.3,1
C17E4.6,1
C28G1.4,1
C30G4.4,1
C34D10.2,1
C35D6.4,1
ccch-3,1
ccch-5,1
cdc-5L,1
ceh-1,1
ceh-10,1
ceh-12,1
ceh-13,1
ceh-18,1
ceh-19,1
ceh-22,1
ceh-24,1
ceh-30,1
ceh-40,1
ceh-43,1
ceh-48,1
ceh-63,1
ceh-79,1
cid-1,1
D1046.2,1
daf-8,1
dhhc-10,1
dhhc-13,1
dhhc-4,1
dhhc-9,1
dmd-5,1
drap-1,1
dro-1,1
ech-6,1
efl-3,1
egl-46,1
egrh-1,1
elt-2,1
elt-4,1
eor-1,1
ets-4,1
F10B5.3,1
F21A9.2,1
F44D12.10,1
fkh-2,1
flh-3,1
gmeb-1,1
hlh-13,1
hlh-25,1
hlh-27,1
hlh-6,1
hmg-6,1
K05F1.5,1
klu-1,1
let-381,1
lim-7,1
lin-32,1
lin-39,1
mcd-1,1
mdl-1,1
mec-3,1
med-2,1
mex-6,1
miz-1,1
mnm-2,1
mxl-1,1
mxl-2,1
mxl-3,1
nhr-100,1
nhr-101,1
nhr-106,1
nhr-112,1
nhr-133,1
nhr-149,1
nhr-153,1
nhr-16,1
nhr-167,1
nhr-186,1
nhr-188,1
nhr-198,1
nhr-2,1
nhr-203,1
nhr-205,1
nhr-206,1
nhr-209,1
nhr-217,1
nhr-22,1
nhr-254,1
nhr-261,1
nhr-266,1
nhr-276,1
nhr-28,1
nhr-283,1
nhr-286,1
nhr-35,1
nhr-4,1
nhr-46,1
nhr-53,1
nhr-54,1
nhr-57,1
nhr-68,1
nhr-77,1
nhr-79,1
nhr-80,1
nhr-9,1
nhr-90,1
nhr-91,1
nhr-95,1
nsy-7,1
oma-2,1
pal-1,1
pax-1,1
pax-2,1
peb-1,1
pos-1,1
pqm-1,1
R02D3.7,1
rabs-5,1
ref-2,1
saeg-2,1
sdc-1,1
sdz-38,1
sea-1,1
sem-4,1
sma-2,1
spr-1,1
sptf-3,1
srab-2,1
T07D10.3,1
T18D3.7,1
T23F11.4,1
tbx-11,1
tbx-41,1
tbx-7,1
tlp-1,1
unc-3,1
unc-62,1
vab-3,1
W02D7.6,1
W04B5.2,1
Y62E10A.14,1
zfp-2,1
zim-1,1
zip-11,1
zip-2,1
zip-4,1
ZK177.3,1
ZK652.6,1
ztf-16,1
