,start,end,width,gene_id,direction,names
1,556,565,10,174376,+,aptf-4
2,486,495,10,190458,+,aptf-2
3,858,867,10,177985,+,rbr-2
4,17,26,10,173147,+,B0019.2
5,963,972,10,173147,+,B0019.2
6,320,329,10,177706,+,rad-26
7,452,461,10,176303,+,saeg-2
8,142,151,10,177196,+,set-9
9,111,120,10,176517,+,athp-1
10,961,970,10,180410,+,F13C5.2
11,594,603,10,175944,+,isw-1
12,788,797,10,182719,+,hlh-27
13,792,801,10,182717,+,hlh-25
14,305,314,10,172889,+,aha-1
15,238,247,10,183427,+,hlh-15
16,975,984,10,183457,+,hnd-1
17,270,279,10,185980,+,hlh-13
18,278,287,10,186449,+,hlh-19
19,501,510,10,172458,+,hlh-2
20,213,222,10,180942,+,mdl-1
21,380,389,10,179860,+,hlh-34
22,623,632,10,188539,+,hlh-6
23,781,790,10,179557,+,mxl-1
24,382,391,10,191402,+,hlh-10
25,123,132,10,173939,+,hlh-26
26,30,39,10,175924,+,zip-8
27,185,194,10,266837,+,let-607
28,901,910,10,181576,+,atf-5
29,166,175,10,171900,+,zip-4
30,174,183,10,171900,+,zip-4
31,810,819,10,171900,+,zip-4
32,864,873,10,179922,+,atfs-1
33,333,342,10,179947,+,F23B12.7
34,427,436,10,179365,+,drap-1
35,445,454,10,179365,+,drap-1
36,729,738,10,191629,+,dro-1
37,327,336,10,181368,+,nfya-1
38,947,956,10,181368,+,nfya-1
39,208,217,10,172211,+,cey-3
40,345,354,10,172211,+,cey-3
41,463,472,10,179809,+,ceh-79
42,161,170,10,174391,+,ceh-7
43,152,161,10,173597,+,ceh-86
44,484,493,10,185767,+,ceh-81
45,620,629,10,177540,+,plp-1
46,695,704,10,177540,+,plp-1
47,585,594,10,3565071,+,ceh-90
48,284,293,10,191149,+,ceh-74
49,295,304,10,180394,+,ceh-93
50,573,582,10,182756,+,ceh-48
51,591,600,10,182756,+,ceh-48
52,695,704,10,182756,+,ceh-48
53,456,465,10,175372,+,ceh-44
54,243,252,10,176068,+,lin-39
55,151,160,10,176091,+,mab-5
56,778,787,10,176091,+,mab-5
57,274,283,10,175638,+,pal-1
58,827,836,10,175638,+,pal-1
59,308,317,10,177590,+,ceh-19
60,468,477,10,187642,+,ceh-62
61,208,217,10,176069,+,ceh-13
62,382,391,10,176069,+,ceh-13
63,981,990,10,177938,+,mec-3
64,462,471,10,191616,+,ceh-5
65,507,516,10,175581,+,ceh-43
66,308,317,10,191621,+,ceh-31
67,585,594,10,180751,+,mls-2
68,394,403,10,179485,+,ceh-22
69,922,931,10,181197,+,vab-15
70,980,989,10,176096,+,ceh-23
71,720,729,10,180671,+,ceh-18
72,369,378,10,173541,+,ceh-83
73,423,432,10,173541,+,ceh-83
74,189,198,10,192081,+,unc-42
75,419,428,10,175811,+,ceh-10
76,569,578,10,175811,+,ceh-10
77,589,598,10,175811,+,ceh-10
78,615,624,10,180313,+,ttx-1
79,751,760,10,180313,+,ttx-1
80,636,645,10,191617,+,ceh-8
81,356,365,10,190204,+,eyg-1
82,560,569,10,178265,+,unc-30
83,741,750,10,178265,+,unc-30
84,58,67,10,178919,+,ceh-34
85,363,372,10,178514,+,ceh-88
86,446,455,10,3565545,+,ceh-20
87,937,946,10,178845,+,unc-62
88,804,813,10,184803,+,ceh-60
89,270,279,10,172250,+,hmg-3
90,188,197,10,180833,+,egl-13
91,870,879,10,180833,+,egl-13
92,18,27,10,173124,+,hmg-20
93,550,559,10,175393,+,swsn-3
94,700,709,10,177373,+,lag-1
95,88,97,10,181573,+,unc-3
96,611,620,10,181573,+,unc-3
97,526,535,10,179386,+,madf-4
98,868,877,10,179386,+,madf-4
99,803,812,10,190925,+,madf-10
100,237,246,10,187612,+,daf-8
101,317,326,10,176229,+,sma-2
102,53,62,10,176020,+,R151.8
103,11,20,10,174173,+,T07F8.4
104,626,635,10,173310,+,ekl-4
105,375,384,10,176241,+,F54F2.9
106,113,122,10,179192,+,spr-1
107,889,898,10,172711,+,snpc-4
108,161,170,10,187105,+,pax-1
109,81,90,10,182466,+,npax-4
110,918,927,10,185967,+,npax-2
111,395,404,10,172753,+,F26H9.2
112,893,902,10,182061,+,gmeb-1
113,907,916,10,182061,+,gmeb-1
114,716,725,10,185575,+,tbx-11
115,66,75,10,186741,+,mls-1
116,128,137,10,186741,+,mls-1
117,61,70,10,176450,+,tbx-8
118,794,803,10,188917,+,tbx-41
119,19,28,10,173441,+,mab-9
120,357,366,10,190679,+,tbx-40
121,538,547,10,260030,+,tbx-7
122,815,824,10,260030,+,tbx-7
123,73,82,10,191435,+,tbx-36
124,883,892,10,191435,+,tbx-36
125,143,152,10,174005,+,egl-44
126,638,647,10,174005,+,egl-44
127,691,700,10,181746,+,C30G4.4
128,677,686,10,178205,+,ham-1
