"","seqnames","start","end","width","strand","gene_id","gene_name","BoundBy"
"1","chrI",2433900,2433909,10,"+","171804","ubxn-1","LIN-39_at_L1"
"2","chrI",2433900,2433909,10,"+","171804","ubxn-1","LIN-39_at_L3"
"3","chrI",2433900,2433909,10,"+","171804","ubxn-1","LIN-39_at_L4"
"4","chrI",11611505,11611514,10,"+","173045","dhhc-7","LIN-39_at_L1"
"5","chrI",11611505,11611514,10,"+","173045","dhhc-7","LIN-39_at_L3"
"6","chrI",11611505,11611514,10,"+","173045","dhhc-7","LIN-39_at_L4"
"7","chrI",14058845,14058854,10,"+","185946","hmg-6","LIN-39_at_L1"
"8","chrI",14058845,14058854,10,"+","185946","hmg-6","LIN-39_at_L2"
"9","chrI",14058845,14058854,10,"+","185946","hmg-6","LIN-39_at_L3"
"10","chrI",14058845,14058854,10,"+","185946","hmg-6","LIN-39_at_L4"
"11","chrI",3266682,3266691,10,"-","171900","zip-4","LIN-39_at_L1"
"12","chrI",3266682,3266691,10,"-","171900","zip-4","LIN-39_at_L3"
"13","chrI",3266682,3266691,10,"-","171900","zip-4","LIN-39_at_L4"
"14","chrII",5932655,5932664,10,"+","174005","egl-44","LIN-39_at_L1"
"15","chrII",5932655,5932664,10,"+","174005","egl-44","LIN-39_at_L4"
"16","chrII",13888518,13888527,10,"+","175040","mcd-1","LIN-39_at_L1"
"17","chrII",13888518,13888527,10,"+","175040","mcd-1","LIN-39_at_L3"
"18","chrIII",834378,834387,10,"+","175240","zip-2","LIN-39_at_L3"
"19","chrIII",7554802,7554811,10,"+","176069","ceh-13","LIN-39_at_L1"
"20","chrIII",7554802,7554811,10,"+","176069","ceh-13","LIN-39_at_L2"
"21","chrIII",9239794,9239803,10,"+","176303","saeg-2","LIN-39_at_L3"
"22","chrIII",7535541,7535550,10,"-","176068","lin-39","LIN-39_at_L1"
"23","chrIII",7535541,7535550,10,"-","176068","lin-39","LIN-39_at_L2"
"24","chrIII",7535541,7535550,10,"-","176068","lin-39","LIN-39_at_L3"
"25","chrIII",7535541,7535550,10,"-","176068","lin-39","LIN-39_at_L4"
"26","chrIII",9868080,9868089,10,"-","191420","dhhc-4","LIN-39_at_L1"
"27","chrIII",9868080,9868089,10,"-","191420","dhhc-4","LIN-39_at_L3"
"28","chrIII",9868080,9868089,10,"-","191420","dhhc-4","LIN-39_at_L4"
"29","chrIV",425553,425562,10,"+","176870","Y66H1A.4","LIN-39_at_L1"
"30","chrIV",3311239,3311248,10,"+","177099","zip-11","LIN-39_at_L1"
"31","chrIV",3311239,3311248,10,"+","177099","zip-11","LIN-39_at_L3"
"32","chrIV",3311239,3311248,10,"+","177099","zip-11","LIN-39_at_L4"
"33","chrIV",10461897,10461906,10,"-","177938","mec-3","LIN-39_at_L3"
"34","chrIV",13416436,13416445,10,"-","190458","aptf-2","LIN-39_at_L1"
"35","chrIV",13704190,13704199,10,"-","178338","tlp-1","LIN-39_at_L1"
"36","chrIV",13704190,13704199,10,"-","178338","tlp-1","LIN-39_at_L2"
"37","chrIV",13704190,13704199,10,"-","178338","tlp-1","LIN-39_at_L3"
"38","chrIV",13704190,13704199,10,"-","178338","tlp-1","LIN-39_at_L4"
"39","chrV",4131696,4131705,10,"+","178813","nhr-57","LIN-39_at_L1"
"40","chrV",4131696,4131705,10,"+","178813","nhr-57","LIN-39_at_L3"
"41","chrV",4131696,4131705,10,"+","178813","nhr-57","LIN-39_at_L4"
"42","chrV",4497389,4497398,10,"+","178845","unc-62","LIN-39_at_L1"
"43","chrV",4497389,4497398,10,"+","178845","unc-62","LIN-39_at_L3"
"44","chrV",4497389,4497398,10,"+","178845","unc-62","LIN-39_at_L4"
"45","chrV",5269378,5269387,10,"+","178915","B0238.11","LIN-39_at_L1"
"46","chrV",5269378,5269387,10,"+","178915","B0238.11","LIN-39_at_L4"
"47","chrV",9731584,9731593,10,"+","179365","drap-1","LIN-39_at_L1"
"48","chrV",9731584,9731593,10,"+","179365","drap-1","LIN-39_at_L3"
"49","chrV",9731584,9731593,10,"+","179365","drap-1","LIN-39_at_L4"
"50","chrV",10632547,10632556,10,"+","266926","mab-23","LIN-39_at_L1"
"51","chrV",10632551,10632560,10,"+","266926","mab-23","LIN-39_at_L1"
"52","chrV",11573239,11573248,10,"+","179589","nhr-68","LIN-39_at_L1"
"53","chrV",11573239,11573248,10,"+","179589","nhr-68","LIN-39_at_L4"
"54","chrV",8130208,8130217,10,"-","179192","spr-1","LIN-39_at_L1"
"55","chrX",6741659,6741668,10,"+","180942","mdl-1","LIN-39_at_L1"
"56","chrX",6741659,6741668,10,"+","180942","mdl-1","LIN-39_at_L3"
"57","chrX",6741659,6741668,10,"+","180942","mdl-1","LIN-39_at_L4"
"58","chrX",7743348,7743357,10,"+","183539","ref-2","LIN-39_at_L1"
"59","chrX",7743348,7743357,10,"+","183539","ref-2","LIN-39_at_L4"
"60","chrX",14773132,14773141,10,"+","181573","unc-3","LIN-39_at_L3"
"61","chrX",14845757,14845766,10,"+","181580","egrh-1","LIN-39_at_L3"
"62","chrX",15309285,15309294,10,"+","181621","nhr-91","LIN-39_at_L2"
"63","chrX",13351554,13351563,10,"-","181457","mxl-3","LIN-39_at_L3"
