,start,end,width,gene_id,direction,names
1,556,565,10,174376,+,aptf-4
2,486,495,10,190458,+,aptf-2
3,452,461,10,176303,+,saeg-2
4,788,797,10,182719,+,hlh-27
5,792,801,10,182717,+,hlh-25
6,270,279,10,185980,+,hlh-13
7,213,222,10,180942,+,mdl-1
8,623,632,10,188539,+,hlh-6
9,781,790,10,179557,+,mxl-1
10,166,175,10,171900,+,zip-4
11,864,873,10,179922,+,atfs-1
12,445,454,10,179365,+,drap-1
13,729,738,10,191629,+,dro-1
14,151,160,10,176091,+,mab-5
15,778,787,10,176091,+,mab-5
16,308,317,10,177590,+,ceh-19
17,208,217,10,176069,+,ceh-13
18,585,594,10,180751,+,mls-2
19,394,403,10,179485,+,ceh-22
20,589,598,10,175811,+,ceh-10
21,356,365,10,190204,+,eyg-1
22,937,946,10,178845,+,unc-62
23,611,620,10,181573,+,unc-3
24,237,246,10,187612,+,daf-8
25,317,326,10,176229,+,sma-2
26,113,122,10,179192,+,spr-1
27,161,170,10,187105,+,pax-1
28,81,90,10,182466,+,npax-4
29,907,916,10,182061,+,gmeb-1
30,716,725,10,185575,+,tbx-11
31,794,803,10,188917,+,tbx-41
32,143,152,10,174005,+,egl-44
33,638,647,10,174005,+,egl-44
34,691,700,10,181746,+,C30G4.4
35,157,166,10,174341,+,efl-3
36,160,169,10,172769,+,C17E4.6
37,571,580,10,3565259,+,zim-1
38,604,613,10,171918,+,Y47G6A.7
39,278,287,10,3565634,+,Y48G8AL.10
40,482,491,10,180403,+,B0310.2
41,619,628,10,177545,+,C08G9.2
42,264,273,10,181701,+,sdc-1
43,759,768,10,191448,+,sdz-38
44,291,300,10,182489,+,mnm-2
45,581,590,10,3896760,+,nsy-7
46,122,131,10,172470,+,ztf-15
47,235,244,10,182454,+,C09F5.3
48,669,678,10,172435,+,sem-4
49,627,636,10,174505,+,zfp-2
50,572,581,10,177249,+,eor-1
51,334,343,10,174504,+,mex-6
52,379,388,10,181059,+,C34D10.2
53,640,649,10,183235,+,C35D6.4
54,190,199,10,178412,+,ccch-5
55,89,98,10,173045,+,dhhc-7
56,984,993,10,186797,+,dhhc-13
57,511,520,10,266926,+,mab-23
58,150,159,10,184287,+,dmd-5
59,369,378,10,189435,+,flh-3
60,535,544,10,181705,+,nhr-28
61,862,871,10,182564,+,nhr-153
62,295,304,10,182565,+,nhr-154
63,765,774,10,182565,+,nhr-154
64,48,57,10,177806,+,nhr-100
65,710,719,10,183178,+,nhr-161
66,633,642,10,183611,+,nhr-261
67,37,46,10,180106,+,nhr-54
68,459,468,10,185909,+,nhr-186
69,452,461,10,186410,+,nhr-266
70,672,681,10,180053,+,nhr-53
71,280,289,10,187567,+,nhr-205
72,157,166,10,187660,+,nhr-206
73,602,611,10,187663,+,nhr-209
74,189,198,10,187716,+,nhr-269
75,921,930,10,178571,+,nhr-106
76,51,60,10,180560,+,nhr-40
77,367,376,10,188212,+,nhr-26
78,971,980,10,173781,+,nhr-16
79,391,400,10,191726,+,nhr-77
80,749,758,10,180265,+,nhr-79
81,976,985,10,181621,+,nhr-91
82,862,871,10,190581,+,nhr-276
83,164,173,10,4363091,+,nhr-286
84,862,871,10,178305,+,Y62E10A.14
85,297,306,10,176870,+,Y66H1A.4
86,384,393,10,176870,+,Y66H1A.4
87,960,969,10,madf-7,+,madf-7
88,46,55,10,181312,-,C34F6.9
89,574,583,10,181312,-,C34F6.9
90,655,664,10,181312,-,C34F6.9
91,567,576,10,3565014,-,attf-5
92,289,298,10,6418830,-,ceh-63
93,573,582,10,172889,-,aha-1
94,85,94,10,175184,-,mxl-2
95,833,842,10,181457,-,mxl-3
96,148,157,10,191703,-,lin-32
97,66,75,10,175240,-,zip-2
98,317,326,10,177099,-,zip-11
99,411,420,10,179809,-,ceh-79
100,932,941,10,182756,-,ceh-48
101,906,915,10,176068,-,lin-39
102,941,950,10,175638,-,pal-1
103,400,409,10,172255,-,ceh-12
104,26,35,10,172236,-,lim-7
105,151,160,10,177938,-,mec-3
106,205,214,10,175581,-,ceh-43
107,472,481,10,191620,-,ceh-30
108,473,482,10,180751,-,mls-2
109,439,448,10,191614,-,ceh-1
110,470,479,10,179877,-,ceh-24
111,101,110,10,180671,-,ceh-18
112,459,468,10,190204,-,eyg-1
113,74,83,10,181251,-,vab-3
114,23,32,10,191624,-,ceh-40
115,554,563,10,185946,-,hmg-6
116,74,83,10,172639,-,cdc-5L
117,590,599,10,172711,-,snpc-4
118,699,708,10,172711,-,snpc-4
119,117,126,10,187062,-,pax-2
120,430,439,10,182466,-,npax-4
121,139,148,10,3565074,-,miz-1
122,186,195,10,173710,-,sea-1
123,371,380,10,260030,-,tbx-7
124,539,548,10,188577,-,T18D3.7
125,576,585,10,180927,-,ets-4
126,932,941,10,172331,-,let-381
