"","seqnames","start","end","width","strand","gene_id","gene_name","BoundBy"
"1","chrI",11611505,11611514,10,"+","173045","dhhc-7","MAB-5_at_L2"
"2","chrI",11611505,11611514,10,"+","173045","dhhc-7","MAB-5_at_L3"
"3","chrI",14058845,14058854,10,"+","185946","hmg-6","MAB-5_at_L3"
"4","chrI",3266682,3266691,10,"-","171900","zip-4","MAB-5_at_L2"
"5","chrI",3266682,3266691,10,"-","171900","zip-4","MAB-5_at_L3"
"6","chrIII",834378,834387,10,"+","175240","zip-2","MAB-5_at_L3"
"7","chrIII",5710754,5710763,10,"+","175800","B0336.3","MAB-5_at_L3"
"8","chrIII",7554802,7554811,10,"+","176069","ceh-13","MAB-5_at_Emb"
"9","chrIII",7554802,7554811,10,"+","176069","ceh-13","MAB-5_at_L2"
"10","chrIII",7554802,7554811,10,"+","176069","ceh-13","MAB-5_at_L3"
"11","chrIII",7535541,7535550,10,"-","176068","lin-39","MAB-5_at_L2"
"12","chrIII",7783537,7783546,10,"-","176091","mab-5","MAB-5_at_L2"
"13","chrIII",7784164,7784173,10,"-","176091","mab-5","MAB-5_at_Emb"
"14","chrIII",7784164,7784173,10,"-","176091","mab-5","MAB-5_at_L2"
"15","chrIII",7784164,7784173,10,"-","176091","mab-5","MAB-5_at_L3"
"16","chrIII",9868080,9868089,10,"-","191420","dhhc-4","MAB-5_at_Emb"
"17","chrIII",9868080,9868089,10,"-","191420","dhhc-4","MAB-5_at_L2"
"18","chrIII",9868080,9868089,10,"-","191420","dhhc-4","MAB-5_at_L3"
"19","chrIV",3311239,3311248,10,"+","177099","zip-11","MAB-5_at_L3"
"20","chrIV",10812260,10812269,10,"+","3565074","miz-1","MAB-5_at_L3"
"21","chrIV",13704190,13704199,10,"-","178338","tlp-1","MAB-5_at_Emb"
"22","chrIV",13704190,13704199,10,"-","178338","tlp-1","MAB-5_at_L2"
"23","chrIV",13704190,13704199,10,"-","178338","tlp-1","MAB-5_at_L3"
"24","chrV",4497389,4497398,10,"+","178845","unc-62","MAB-5_at_L2"
"25","chrV",4497389,4497398,10,"+","178845","unc-62","MAB-5_at_L3"
"26","chrV",5269378,5269387,10,"+","178915","B0238.11","MAB-5_at_L3"
"27","chrV",9731584,9731593,10,"+","179365","drap-1","MAB-5_at_L2"
"28","chrV",9731584,9731593,10,"+","179365","drap-1","MAB-5_at_L3"
"29","chrV",8130208,8130217,10,"-","179192","spr-1","MAB-5_at_Emb"
"30","chrV",8130208,8130217,10,"-","179192","spr-1","MAB-5_at_L2"
"31","chrV",8130208,8130217,10,"-","179192","spr-1","MAB-5_at_L3"
"32","chrX",2215527,2215536,10,"+","180532","peb-1","MAB-5_at_L3"
"33","chrX",2593140,2593149,10,"+","180560","nhr-40","MAB-5_at_L3"
"34","chrX",6741659,6741668,10,"+","180942","mdl-1","MAB-5_at_L2"
"35","chrX",6741659,6741668,10,"+","180942","mdl-1","MAB-5_at_L3"
"36","chrX",13351554,13351563,10,"-","181457","mxl-3","MAB-5_at_L3"
