,seqnames,start,end,width,strand,gene_id,gene_name,BoundBy
1,chrI,2433573,2433582,10,+,171804,ubxn-1,EGL-5_at_L3
2,chrI,2433900,2433909,10,+,171804,ubxn-1,LIN-39_at_L1
3,chrI,2433900,2433909,10,+,171804,ubxn-1,LIN-39_at_L3
4,chrI,2433900,2433909,10,+,171804,ubxn-1,LIN-39_at_L4
5,chrI,2433900,2433909,10,+,171804,ubxn-1,EGL-5_at_L3
6,chrI,11611505,11611514,10,+,173045,dhhc-7,LIN-39_at_L1
7,chrI,11611505,11611514,10,+,173045,dhhc-7,LIN-39_at_L3
8,chrI,11611505,11611514,10,+,173045,dhhc-7,LIN-39_at_L4
9,chrI,11611505,11611514,10,+,173045,dhhc-7,MAB-5_at_L2
10,chrI,11611505,11611514,10,+,173045,dhhc-7,MAB-5_at_L3
11,chrI,11611505,11611514,10,+,173045,dhhc-7,EGL-5_at_L3
12,chrI,14058845,14058854,10,+,185946,hmg-6,LIN-39_at_L1
13,chrI,14058845,14058854,10,+,185946,hmg-6,LIN-39_at_L2
14,chrI,14058845,14058854,10,+,185946,hmg-6,LIN-39_at_L3
15,chrI,14058845,14058854,10,+,185946,hmg-6,LIN-39_at_L4
16,chrI,14058845,14058854,10,+,185946,hmg-6,MAB-5_at_L3
17,chrI,3266682,3266691,10,-,171900,zip-4,LIN-39_at_L1
18,chrI,3266682,3266691,10,-,171900,zip-4,LIN-39_at_L3
19,chrI,3266682,3266691,10,-,171900,zip-4,LIN-39_at_L4
20,chrI,3266682,3266691,10,-,171900,zip-4,MAB-5_at_L2
21,chrI,3266682,3266691,10,-,171900,zip-4,MAB-5_at_L3
22,chrII,5932655,5932664,10,+,174005,egl-44,LIN-39_at_L1
23,chrII,5932655,5932664,10,+,174005,egl-44,LIN-39_at_L4
24,chrII,13888518,13888527,10,+,175040,mcd-1,LIN-39_at_L1
25,chrII,13888518,13888527,10,+,175040,mcd-1,LIN-39_at_L3
26,chrII,13888518,13888527,10,+,175040,mcd-1,EGL-5_at_L3
27,chrIII,834378,834387,10,+,175240,zip-2,LIN-39_at_L3
28,chrIII,834378,834387,10,+,175240,zip-2,MAB-5_at_L3
29,chrIII,834378,834387,10,+,175240,zip-2,EGL-5_at_L3
30,chrIII,5710754,5710763,10,+,175800,B0336.3,MAB-5_at_L3
31,chrIII,7554802,7554811,10,+,176069,ceh-13,LIN-39_at_L1
32,chrIII,7554802,7554811,10,+,176069,ceh-13,LIN-39_at_L2
33,chrIII,7554802,7554811,10,+,176069,ceh-13,MAB-5_at_Emb
34,chrIII,7554802,7554811,10,+,176069,ceh-13,MAB-5_at_L2
35,chrIII,7554802,7554811,10,+,176069,ceh-13,MAB-5_at_L3
36,chrIII,9239794,9239803,10,+,176303,saeg-2,LIN-39_at_L3
